Type,Name,Address,Call
社區公共托育家園,臺北市芝山社區公共托育家園,臺北市士林區德行東路285號(芝山國小忠孝樓3樓),(02)28385506
社區公共托育家園,臺北市葫蘆社區公共托育家園,臺北市士林區環河北路3段95號2樓(葫蘆國小附幼2樓),(02)28105878
社區公共托育家園,臺北市三玉社區公共托育家園,臺北市士林區天母東路116號2樓(三玉國小C棟),(02)28745376
社區公共托育家園,臺北市百齡社區公共托育家園,臺北市士林區福港街205號1樓(百齡國小誠樸樓),(02)28815205
社區公共托育家園,臺北市蘭雅社區公共托育家園,臺北市士林區磺溪街57號1樓(蘭雅國小樸實樓),(02)28384896
社區公共托育家園,臺北市富安社區公共托育家園,臺北市士林區延平北路8段135號2樓(富安國小忠孝樓),(02)28117668
社區公共托育家園,臺北市士林社區公共托育家園,臺北市士林區大東路165號1樓(士林國小),(02)28833701
社區公共托育家園,臺北市文昌社區公共托育家園,臺北市士林區文林路615巷20號1樓(文昌國小),(02)28318272
社區公共托育家園,臺北市大龍社區公共托育家園,臺北市大同區哈密街47號(大龍國小內),(02)25950892
社區公共托育家園,臺北市永樂社區公共托育家園,臺北市大同區延平北路2段266號(永樂國小內),(02)25530711
社區公共托育家園,臺北市忠孝社區公共托育家園,臺北市大同區西寧北路32號1樓(忠孝國中至善樓1樓),(02)25527337
社區公共托育家園,臺北市成功社區公共托育家園,臺北市大安區四維路198巷38弄10號1樓(成功國宅郵局旁),(02)27070857
社區公共托育家園,臺北市族中社區公共托育家園,臺北市大安區羅斯福路4段113巷13號1樓(民族國中),(02)23770039
社區公共托育家園,臺北市大安社區公共托育家園,臺北市大安區臥龍街129號2樓(大安國小),(02)27374956
社區公共托育家園,臺北市懷中社區公共托育家園,臺北市大安區忠孝東路3段248巷30號1樓(懷生國中),(02)27780378
社區公共托育家園,臺北市吉林社區公共托育家園,臺北市中山區吉林路110號2樓(臺北市家庭教育中心2樓),(02)25114698
社區公共托育家園,臺北市大直社區公共托育家園,臺北市中山區大直街2號1樓(大直國小自愛樓1樓),(02)25530158
社區公共托育家園,臺北市北安社區公共托育家園,臺北市中山區明水路325號1樓(北安國中忠孝樓1樓),(02)25534390
社區公共托育家園,臺北市濱中社區公共托育家園,臺北市中山區樂群二路262號1樓(濱江國中),(02)85015418
社區公共托育家園,臺北市濱江社區公共托育家園,臺北市中山區樂群二路266巷99號1樓(濱江國小),(02)85012413
社區公共托育家園,臺北市南海社區公共托育家園,臺北市中正區延平南路207之1號1樓,(02)23113689
社區公共托育家園,臺北市文湖社區公共托育家園,臺北市內湖區文湖街15號(文湖國小至善樓2樓),(02)87978861
社區公共托育家園,臺北市麗山社區公共托育家園,臺北市內湖區港華街100號 1樓(麗山國小四維二大樓1樓),(02)87510725
社區公共托育家園,臺北市星雲社區公共托育家園,臺北市內湖區星雲街161巷3號1樓(清白區民活動中心),(02)87922462
社區公共托育家園,臺北市新湖社區公共托育家園,臺北市內湖區民權東路6段138號(新湖國小和平樓125室),(02)27968015
社區公共托育家園,臺北市潭美社區公共托育家園,臺北市內湖區行善路179號3樓(行政棟大樓3樓),(02)27936532
社區公共托育家園,臺北市瑞光社區公共托育家園,臺北市內湖區瑞光路162號2樓(瑞光社會住宅2樓),(02)26591991
社區公共托育家園,臺北市興華社區公共托育家園,臺北市文山區興隆路3段125巷6號(興華國小科學樓2樓),(02)22305993
社區公共托育家園,臺北市萬隆社區公共托育家園,臺北市文山區汀洲路4段207號1樓,(02)29320443
社區公共托育家園,臺北市興隆社區公共托育家園,臺北市文山區福興路2號(興隆國小內),(02)89315966
社區公共托育家園,臺北市萬福社區公共托育家園,臺北市文山區羅斯福路5段170巷32號(萬福國小蒼松樓1樓),(02)29349616
社區公共托育家園,臺北市武功社區公共托育家園,臺北市文山區興隆路１段68號1樓(武功國小樂真樓1樓),(02)29300388
社區公共托育家園,臺北市萬芳社區公共托育家園,臺北市文山區萬和街1號(萬芳國小旭日和風樓1樓),(02)22302627
社區公共托育家園,臺北市忠順社區公共托育家園,臺北市文山區興隆路4段109巷30弄6號(老人自費安養中心內),(02)29362221
社區公共托育家園,臺北市辛亥社區公共托育家園,臺北市文山區辛亥路4段103號2樓(辛亥國小),(02)86631134
社區公共托育家園,臺北市永建社區公共托育家園,臺北市文山區木柵路1段311巷1號1樓(永建國小),(02)29392022
社區公共托育家園,臺北市溪口社區公共托育家園,臺北市文山區景福街225號1樓(溪口國小敬業樓),(02)29330337
社區公共托育家園,臺北市北投社區公共托育家園,臺北市北投區中央北路1段73號2樓(北投國小白宮2樓),(02)28962977
社區公共托育家園,臺北市桃源社區公共托育家園,臺北市北投區中央北路3段40巷45號1樓(桃源國小明德樓),(02)28931077
社區公共托育家園,臺北市文北社區公共托育家園,臺北市北投區文林北路75巷61號1樓,(02)28280362
社區公共托育家園,臺北市洲美社區公共托育家園,臺北市北投區福美路221號 1樓,(02)28280372
社區公共托育家園,臺北市稻香社區公共托育家園,臺北市北投區稻香路83號1樓,(02)28988036
社區公共托育家園,臺北市松民社區公共托育家園,臺北市松山區民生東路5段163之1號2樓,(02)27652003
社區公共托育家園,臺北市松山社區公共托育家園,臺北市松山區八德路4段746號(松山國小南棟1樓),(02)27480228
社區公共托育家園,臺北市興雅社區公共托育家園,臺北市信義區基隆路1段35巷47號(興雅國小和平樓2樓),(02)27495657
社區公共托育家園,臺北市吳興社區公共托育家園,臺北市信義區松仁路226號2樓(吳興國小信義樓),(02)27580675
社區公共托育家園,臺北市舊莊社區公共托育家園,臺北市南港區舊莊街1段100號(舊莊國小忠孝樓1樓),(02)27883976
社區公共托育家園,臺北市玉成社區公共托育家園,臺北市南港區向陽路31號1樓(玉成國小),(02)26530800
社區公共托育家園,臺北市小彎社區公共托育家園,臺北市南港區向陽路250號1樓,(02)27836583
社區公共托育家園,臺北市日善社區公共托育家園,臺北市萬華區東園街19之1號1樓,(02)23038805
社區公共托育家園,臺北市雙園社區公共托育家園,臺北市萬華區興義街2號1樓(雙園國中D棟),(02)23052362
社區公共托育家園,臺北市東園社區公共托育家園,臺北市萬華區東園街195號(東園國小健康樓1樓),(02)23016925
社區公共托育家園,臺北市西園社區公共托育家園,臺北市萬華區東園街73巷65號2樓(西園國小快樂樓2樓),(02)23391231
社區公共托育家園,臺北市龍山社區公共托育家園,臺北市萬華區和平西路3段235號3樓(龍山國小仁愛樓3樓),(02)23083199
社區公共托育家園,臺北市亭中社區公共托育家園,臺北市萬華區中華路2段606號3號2樓(古亭國中第二校區),(02)23019738
社區公共托育家園,臺北市老松社區公共托育家園,臺北市萬華區桂林路64號1樓(老松國小),(02)23028488
