Name,Address
中央研究院附設臺北市私立幼兒園,115臺北市南港區中研里20鄰研究院路2段12巷75號
內政部移民署職場互助教保服務中心（委託社團法人臺北市飛亞特全人福利服務文教發展協會辦理）,100臺北市中正區廣州街15號
內政部營建署職場互助教保服務中心（委託社團法人中華音樂舞蹈暨表演藝術教育協會辦理）,105臺北市松山區八德路二段342號
內政部警政署保安警察第一總隊職場互助教保服務中心（委託社團法人臺北市教保托育協會辦理）,112臺北市北投區立農街二段301號
世平興業股份有限公司附設臺北市私立員工子女幼兒園,115臺北市南港區西新里8鄰成功路一段70、72、74號
北部台灣基督長老教會艋舺教會附設臺北市私立愛心幼兒園,108臺北市萬華區福音里2鄰貴陽街二段94號
台電公司輸變電工程處職場互助教保服務中心（委託社團法人台灣公共托育協會辦理）,100臺北市中正區牯嶺街73號
交通部臺灣鐵路管理局臺北車站職場互助教保服務中心（委託社團法人臺灣兒童教育發展協會辦理）,100臺北市中正區黎民裡3鄰北平西路3號
有限責任臺北市立五常國民中學員生消費合作社附設臺北市私立員工子女幼兒園,104臺北市中山區下埤里3鄰復興北路430巷1號
有限責任臺北市立金華國民中學員生消費合作社附設臺北市私立員工子女幼兒園,106臺北市大安區福住里1鄰新生南路二段32號
行政院環境保護署職場互助教保服務中心（委託社團法人金字塔幼兒教育研究學會辦理）,100臺北市中正區建國里2鄰中華路一段83號
私立再興高級中學附設臺北市幼兒園,116臺北市文山區明義里4鄰木柵路二段1-6號
育達學校財團法人臺北市私立普林思頓高級中等學校附設臺北市私立點點幼兒園,105臺北市松山區復勢里10鄰南京東路四段120巷31號
法務部附設臺北市私立員工子女幼兒園,100臺北市中正區建國里4鄰重慶南路1段136巷2號
恕德學校財團法人附設臺北市私立恕德幼兒園,114臺北市內湖區西湖里1鄰內湖路一段353號
財政部員工子女非營利幼兒園（委託社團法人嬰幼兒教育與家庭發展協會辦理）,116臺北市文山區景仁里2鄰羅斯福路六段142巷3號
財政部財政資訊中心職場互助教保服務中心(委託社團法人新竹市教保人員協會辦理),110臺北市信義區新仁里1鄰忠孝東路4段547號
財政部臺北國稅局職場互助教保服務中心（委託社團法人台北市教保人員協會辦理）,108臺北市萬華區福興里1鄰中華路一段2號
財政部關務署員工子女非營利幼兒園（委託財團法人彭婉如文教基金會辦理）,103臺北市大同區玉泉里6鄰塔城街13號
財團法人中國文化大學附設臺北市私立文化幼兒園,106臺北市大安區龍生里16鄰瑞安街256巷18號
財團法人中華文化社會福利事業基金會台北兒童福利中心附設臺北市私立實驗幼兒園,110臺北市信義區富台里14鄰虎林街120巷270號
財團法人中華民國郵政職工福利委員會附設臺北市私立員工子女幼兒園,106臺北市大安區錦泰里4鄰愛國東路210巷9號
財團法人中華基督教衛理公會附設臺北市私立城中衛理幼兒園,100臺北市中正區新營里6鄰寧波東街9巷6號
財團法人中華基督教衛理公會附設臺北市私立衛理幼兒園,106臺北市大安區民輝里2鄰新生南路一段113號
財團法人天主教會台北教區附設臺北市私立三德幼兒園,110臺北市信義區六合里5鄰松仁路228巷15號
財團法人天主教會台北教區附設臺北市私立育仁幼兒園,108臺北市萬華區雙園里8鄰興寧街70號
財團法人天主教會台北教區附設臺北市私立信光幼兒園,106臺北市大安區法治里9鄰通化街178號
財團法人天主教會台北教區附設臺北市私立聖心幼兒園,103臺北市大同區雙連里27鄰民生西路245號
財團法人天主教會台北教區附設臺北市私立達義幼兒園,112臺北市北投區榮光里12鄰致遠一路2段40巷11號
財團法人天主教會台北教區附設臺北市私立曉星幼兒園,106臺北市大安區光信里27鄰延吉街254號
財團法人天主教會臺北教區附設臺北市私立若石幼兒園,116臺北市文山區萬盛里3鄰羅斯福路五段51號
財團法人王氏太原堂附設臺北市私立太原幼兒園,103臺北市大同區鄰江里20鄰迪化街二段243巷2號
財團法人台北市中國基督教靈糧世界佈道會台北靈糧堂附設臺北市私立靈糧幼兒園,116臺北市文山區興昌里20鄰萬美街2段80號
財團法人台北市中華基督教青年會附設臺北市私立文山幼兒園,116臺北市文山區試院里14鄰和興路2號
財團法人台北市中華基督教青年會附設臺北市私立永吉幼兒園,110臺北市信義區永吉里1鄰永吉路500號
財團法人台北市中華基督教景美浸信會附設臺北市私立聖愛幼兒園,116臺北市文山區景美里14鄰育英街63號
財團法人台北市私立強恕高級中學附設臺北市私立幼兒園,100臺北市中正區板溪里14鄰汀州路二段143號
財團法人台北市基督教浸信會懷恩堂附設臺北市私立懷恩幼兒園,106臺北市大安區大學里4鄰新生南路3段90號
財團法人台北市華亞之聲社中華基督教便以利教會附設臺北市私立華聲幼兒園,116臺北市文山區萬興里11鄰指南路2段11號
財團法人台灣聖公會附設臺北市私立聖約翰幼兒園,106臺北市大安區龍淵里1鄰復興南路二段280號
財團法人林迺翁文教基金會附設臺北市私立天鵝堡幼兒園,111臺北市士林區臨溪里8鄰至善路2段280之1號
財團法人信誼基金會附設臺北市私立實驗幼兒園,100臺北市中正區龍福里21鄰重慶南路二段75號
財團法人國光慈善事業基金會附設臺北市私立三軍幼兒園,115臺北市南港區東明里5鄰南港路二段146號
財團法人陳德星堂附設臺北市私立德星幼兒園,103臺北市大同區星明里7鄰寧夏路27號
財團法人福智文教基金會附設臺北市私立妙行幼兒園,105臺北市松山區東勢里1鄰南京東路4段133巷5弄23號
財團法人福智文教基金會附設臺北市私立妙慧幼兒園,105臺北市松山區東勢里1鄰南京東路4段133巷5弄25號
財團法人臺北市私立立人國際國民中小學附設臺北市私立幼兒園,106臺北市大安區通安里20鄰安和路二段99號
財團法人臺北市私立立德幼兒園,105臺北市松山區東光里26鄰南京東路5段123巷8弄47號
財團法人臺北市私立金甌女子高級中學附設臺北市私立幼兒園,106臺北市大安區光明里9鄰杭州南路二段1號
財團法人臺北市私立復興實驗高級中學附設臺北市私立幼兒園,106臺北市大安區敦安里19鄰敦化南路一段262號
財團法人臺北市私立蒙特梭利幼兒園,106臺北市大安區民輝里14鄰新生南路1段103巷27號
財團法人臺灣大學校園建設基金會附設臺北市私立幼兒園,106臺北市大安區學府里17鄰基隆路四段144巷59弄12號
財團法人臺灣省臺南市天主教鮑思高慈幼會附設臺北市私立思高幼兒園,105臺北市松山區民有里2鄰民生東路三段125號
財團法人臺灣基督長老教會雙連教會附設臺北市私立雙連幼兒園,112臺北市北投區立賢里4鄰承德路7段221號
財團法人臺灣聖公會附設臺北市私立牧愛堂幼兒園,111臺北市士林區後港里16鄰中正路509號
國立中正紀念堂管理處職場互助教保服務中心（委託社團法人台北市教保人員協會辦理）,100臺北市中正區中山南路21號
國立政治大學附設實驗國民小學附設幼兒園,116臺北市文山區萬興里7鄰指南路二段64號
國立臺北教育大學附設實驗國民小學附設幼兒園,106臺北市大安區龍淵里25鄰和平東路二段94號
國立臺灣大學醫學院附設醫院附設臺北市私立員工子女幼兒園,100臺北市中正區黎明里4鄰常德街1號
國防部軍備局光華營區職場互助教保服務中心（委託財團法人三之三生命教育基金會辦理）,115臺北市南港區昆陽街165號
國防部軍備局健安新城職場互助教保中心(委託社團法人新竹市教保人員協會辦理),105臺北市松山區健康路225巷6號
國防部軍備局慈光五村職場互助教保服務中心(委託社團法人臺北市教保托育協會辦理),112臺北市北投區文林北路12號
國防部軍備局萬隆營區職場互助教保服務中心（委託財團法人三之三生命教育基金會辦理）,116臺北市文山區羅斯福路5段236巷3弄22號
國防部陸軍司令部精勤員工子女非營利幼兒園（委託社團法人臺灣兒童教育發展協會辦理）,116臺北市文山區萬和里11鄰汀洲路四段255、257、261、263號
國防部陸軍司令部精勤職場互助教保服務中心（委託財團法人海棠文教基金會辦理）,108臺北市萬華區日祥里17鄰青年路152巷34號
國防醫學院附設臺北市私立愛德幼兒園,100臺北市中正區富水里11鄰汀州路3段24巷5弄12號
國家科學及技術委員會職場互助教保服務中心（委託社團法人台灣公共托育協會辦理）,106臺北市大安區龍淵里5鄰和平東路2段106號
康軒文教事業股份有限公司附設臺北市私立員工子女幼兒園,114臺北市內湖區瑞陽里8鄰文德路66巷99號
教育部忠孝大樓職場互助教保服務中心(委託社團法人台北市教保人員協會辦理),100臺北市中正區幸福里7鄰忠孝東路1段172號
教育部徐州大樓職場互助教保服務中心（委託社團法人台北市教保人員協會辦理）,100臺北市中正區東門里2鄰徐州路48-1號
新民學校財團法人臺北市私立新民國民小學附設臺北市私立幼兒園,106臺北市大安區龍坡里22鄰辛亥路一段113號
遊戲橘子數位科技股份有限公司附設臺北市私立員工子女幼橘園幼兒園,114臺北市內湖區港墘里20鄰港墘路221巷33號
實踐大學附設臺北市私立幼兒園,104臺北市中山區大直里35鄰大直街70號
臺北市?公非營利幼兒園（委託社團法人中華音樂舞蹈暨表演藝術教育協會辦理）,110臺北市信義區中行里16鄰福德街221巷15號
臺北市三民亦禮非營利幼兒園（委託財團法人中華民國唐氏症基金會辦理）,114臺北市內湖區湖興里13鄰民權東路六段45號
臺北市三玉非營利幼兒園（委託社團法人台北市幼兒園協會辦理）,111臺北市士林區三玉里14鄰忠誠路二段53巷7號
臺北市士林區士東國民小學附設幼兒園,111臺北市士林區天祿里15鄰中山北路6段392號
臺北市士林區士林國民小學附設幼兒園,111臺北市士林區福德里4鄰大東路165號
臺北市士林區文昌國民小學附設幼兒園,111臺北市士林區德華里10鄰文林路615巷20號
臺北市士林區平等國民小學附設幼兒園,111臺北市士林區平等里2鄰平菁街101號
臺北市士林區百齡國民小學附設幼兒園,111臺北市士林區福中里7鄰福港街205號
臺北市士林區社子國民小學附設幼兒園,111臺北市士林區永倫里1鄰延平北路六段308號
臺北市士林區芝山國民小學附設幼兒園,111臺北市士林區芝山里22鄰德行東路285號
臺北市士林區雨農國民小學附設幼兒園,111臺北市士林區名山里7鄰忠義街1號
臺北市士林區雨聲國民小學附設幼兒園,111臺北市士林區岩山里5鄰至誠路一段62巷70號
臺北市士林區富安國民小學附設幼兒園,111臺北市士林區富洲里5鄰延平北路八段135號
臺北市士林區陽明山國民小學附設幼兒園,111臺北市士林區新安里5鄰仰德大道三段61號
臺北市士林區溪山國民小學附設幼兒園,111臺北市士林區溪山里6鄰至善路三段199號
臺北市士林區葫蘆國民小學附設幼兒園,111臺北市士林區葫蘆里15鄰環河北路3段95號
臺北市士林區福林國民小學附設幼兒園,111臺北市士林區福志里13鄰福志路75號
臺北市士林區劍潭國民小學附設幼兒園,111臺北市士林區明勝里5鄰通河街16號
臺北市士林區雙溪國民小學附設幼兒園,111臺北市士林區翠山里6鄰中社路二段66號
臺北市士林區蘭雅國民小學附設幼兒園,111臺北市士林區蘭興里8鄰磺溪街57號
臺北市大同區大同國民小學附設幼兒園,103臺北市大同區蓬萊里13鄰大龍街51號
臺北市大同區大橋國民小學附設幼兒園,103臺北市大同區隆和里4鄰重慶北路三段2號
臺北市大同區大龍國民小學附設幼兒園,103臺北市大同區保安里10鄰哈密街47號
臺北市大同區太平國民小學附設幼兒園,103臺北市大同區南芳里2鄰延平北路二段239號
臺北市大同區日新國民小學附設幼兒園,103臺北市大同區星明里12鄰太原路151號
臺北市大同區永樂國民小學附設幼兒園,103臺北市大同區南芳里8鄰延平北路二段266號
臺北市大同區延平國民小學附設幼兒園,103臺北市大同區國慶里18鄰昌吉街97號
臺北市大同區蓬萊國民小學附設幼兒園,103臺北市大同區星明里7鄰寧夏路35號
臺北市大同區雙蓮國民小學附設幼兒園,103臺北市大同區民權里16鄰錦西街51號
臺北市大安區大安國民小學附設幼兒園,106臺北市大安區芳和里8鄰臥龍街129號
臺北市大安區仁愛國民小學附設幼兒園,106臺北市大安區敦安里6鄰安和路一段60號
臺北市大安區公館國民小學附設幼兒園,106臺北市大安區學府里5鄰基隆路四段41巷68弄2號
臺北市大安區古亭國民小學附設幼兒園,106臺北市大安區古風里5鄰羅斯福路三段201號
臺北市大安區幸安國民小學附設幼兒園,106臺北市大安區民炤里15鄰仁愛路三段22號
臺北市大安區建安國民小學附設幼兒園,106臺北市大安區龍雲里17鄰大安路二段99號
臺北市大安區新生國民小學附設幼兒園,106臺北市大安區龍安里10鄰新生南路二段36號
臺北市大安區銘傳國民小學附設幼兒園,106臺北市大安區學府里17鄰羅斯褔路四段21號
臺北市大安區龍安國民小學附設幼兒園,106臺北市大安區龍門里10鄰新生南路三段33號
臺北市大龍峒非營利幼兒園（委託財團法人台北基督教女青年會辦理）,103臺北市大同區老師里13鄰重慶北路3段320號
臺北市中山區大佳國民小學附設幼兒園,104臺北市中山區大佳里6鄰濱江街107號
臺北市中山區大直國民小學附設幼兒園,104臺北市中山區大直里28鄰大直街2號
臺北市中山區中山國民小學附設幼兒園,104臺北市中山區恆安里15鄰民權東路一段69號
臺北市中山區中正國民小學附設幼兒園,104臺北市中山區力行里27鄰龍江路62號
臺北市中山區五常國民小學附設幼兒園,104臺北市中山區行仁里6鄰五常街16號
臺北市中山區永安國民小學附設幼兒園,104臺北市中山區永安里32鄰明水路397巷19弄1號
