編號,案類,發生日期,發生時段,發生地點
1,自行車竊盜,1040101,16~18,臺北市大安區住安里四維路124巷1~30號
2,自行車竊盜,1040104,08~10,臺北市大安區敦煌里仁愛路4段266巷1~30號
3,自行車竊盜,1040106,14~16,臺北市萬華區國興路1~30號
4,自行車竊盜,1040108,08~10,臺北市北投區清江里三合街2段481~510號
5,自行車竊盜,1040108,16~18,臺北市松山區延壽街391~420號
6,自行車竊盜,1040109,06~08,臺北市南港區三重里南港路1段(南港展覽館5號
7,自行車竊盜,1040109,14~16,臺北市北投區大同里光明路1~30號
8,自行車竊盜,1040109,14~16,臺北市內湖區金湖里康寧路3段31~60號
9,自行車竊盜,1040110,04~06,臺北市內湖區康寧路3段31~60號
10,自行車竊盜,1040110,12~14,臺北市松山區三民路121~150號
11,自行車竊盜,1040110,16~18,臺北市萬華區西昌街29巷1~30號
12,自行車竊盜,1040111,06~08,臺北市南港區東明里東明街61~90號
13,自行車竊盜,1040111,06~08,臺北市南港區東明里東明街61~90號
14,自行車竊盜,1040111,06~08,臺北市南港區東明里東明街61~90號
15,自行車竊盜,1040111,06~08,臺北市南港區東明里東明街61~90號
16,自行車竊盜,1040111,06~08,臺北市南港區東明里東明街61~90號
17,自行車竊盜,1040111,08~10,臺北市萬華區萬大路387巷1~30號
18,自行車竊盜,1040111,14~16,臺北市北投區大同里光明路1~30號
19,自行車竊盜,1040113,10~12,臺北市中正區忠孝東路1段31~60號
20,自行車竊盜,1040115,06~08,臺北市信義區中行里福德街221巷4弄1~30號
21,自行車竊盜,1040116,06~08,臺北市松山區撫遠街361~390號
22,自行車竊盜,1040117,16~18,臺北市大安區仁慈里仁愛路4段1~30號
23,自行車竊盜,1040118,08~10,臺北市萬華區西園路2段91~120號
24,自行車竊盜,1040119,08~10,臺北市信義區大道里忠孝東路5段781~810號
25,自行車竊盜,1040120,10~12,臺北市信義區西村里松壽路1~30號
26,自行車竊盜,1040121,10~12,臺北市內湖區南湖里東湖捷運站
27,自行車竊盜,1040121,12~14,臺北市內湖區港墘里內湖路1段661~690號
28,自行車竊盜,1040122,00~02,臺北市北投區一德里中央北路4段577巷27弄1~30號
29,自行車竊盜,1040123,18~20,臺北市南港區東明里南港路2段1~30號
30,自行車竊盜,1040123,18~20,臺北市南港區東明里南港路2段(與興華路口萊爾富超商前)
