項次編號,name,content,display_addr,poi_addr
1,臺北市政府警察局總局,臺北市政府警察局總局,臺北市中正區延平南路96號,臺北市中正區延平南路96號
2,大同分局,大同分局,臺北市大同區錦西街200號,臺北市大同區錦西街200號
3,萬華分局,萬華分局,臺北市萬華區桂林路135號,臺北市萬華區桂林路135號
4,中山分局,中山分局,臺北市中山區中山北路二段1號,臺北市中山區中山北路二段1號
5,大安分局,大安分局,臺北市大安區仁愛路三段2號,臺北市大安區仁愛路三段2號
6,中正第一分局,中正第一分局,臺北市中正區公園路15號,臺北市中正區公園路15號
7,中正第二分局,中正第二分局,臺北市中正區南海路35號,臺北市中正區南海路35號
8,松山分局,松山分局,臺北市松山區南京東路四段12號,臺北市松山區南京東路四段12號
9,信義分局,信義分局,臺北市信義區信義路五段17號,臺北市信義區信義路五段17號
10,士林分局,士林分局,臺北市士林區文林路235號,臺北市士林區文林路235號
11,北投分局,北投分局,臺北市北投區中央北路一段1號,臺北市北投區中央北路一段1號
12,文山第一分局,文山第一分局,臺北市文山區木柵路二段202號,臺北市文山區木柵路二段202號
13,文山第二分局,文山第二分局,臺北市文山區景中街2號,臺北市文山區景中街2號
14,南港分局,南港分局,臺北市南港區向陽路150號,臺北市南港區向陽路150號
15,內湖分局,內湖分局,臺北市內湖區民權東路六段101號,臺北市內湖區民權東路六段101號
16,刑事警察大隊,刑事警察大隊,臺北市大同區重慶北路二段219號,臺北市大同區重慶北路二段219號
17,保安警察大隊,保安警察大隊,臺北市松山區延壽街339號,臺北市松山區延壽街339號
18,交通警察大隊,交通警察大隊,臺北市中正區愛國西路26號,臺北市中正區愛國西路26號
19,少年警察隊,少年警察隊,臺北市信義區信義路五段180號,臺北市信義區信義路五段180號
20,婦幼警察隊,婦幼警察隊,臺北市信義區信義路五段180號,臺北市信義區信義路五段180號
21,捷運警察隊,捷運警察隊,臺北市大同區華陰街32號地下2樓,臺北市大同區華陰街32號地下2樓
22,通信隊,通信隊,臺北市中正區延平南路96號10樓,臺北市中正區延平南路96號10樓
23,寧夏路派出所,隸屬大同分局,臺北市大同區錦西街200號,臺北市大同區錦西街200號
24,民族路派出所,隸屬大同分局,臺北市大同區重慶北路三段168號,臺北市大同區重慶北路三段168號
25,重慶北路派出所,隸屬大同分局,臺北市大同區重慶北路三段320-2號,臺北市大同區重慶北路三段320-2號
26,延平派出所,隸屬大同分局,臺北市大同區延平北路一段86號,臺北市大同區延平北路一段86號
27,民生西路派出所,隸屬大同分局,臺北市大同區保安街47-1號,臺北市大同區保安街47-1號
